subcategory_id,source,visits,subcategory_name,category_id,category_name
cf2e61c7af,direct,501165,Мобильные телефоны,09f279a643,Электроника
0cd903d1cc,direct,126342,Ноутбуки,3509869a61,Компьютерная техника
ef35bc88a7,direct,95626,Телевизоры,09f279a643,Электроника
6ff9f4014c,direct,75680,Планшеты,3509869a61,Компьютерная техника
72bc238e4d,direct,64435,Наушники и Bluetooth-гарнитуры,09f279a643,Электроника
88c78ea685,direct,39638,Шины,65922fa39c,Авто
179bfacf4a,direct,31007,Умные часы и браслеты,09f279a643,Электроника
b0fb8f259a,direct,30324,Мониторы,3509869a61,Компьютерная техника
3c67eb2d90,direct,25878,Наручные часы,6074ad29ac,"Одежда, обувь и аксессуары"
24e6c815c6,direct,25276,Лекарственные препараты и БАДы,10a493e03b,Товары для здоровья
00fd6e5a87,direct,22064,Стиральные машины,5a0d8ac946,Бытовая техника
29c9b62225,direct,20920,Холодильники,5a0d8ac946,Бытовая техника
3cc6f62679,direct,20886,Видеокарты,3509869a61,Компьютерная техника
c4412ce45c,direct,19614,Принтеры и МФУ,3509869a61,Компьютерная техника
4a57f562b8,direct,18079,Коляски,7dbac4c1a3,Детские товары
63d35150a7,direct,17616,Оборудование Wi-Fi и Bluetooth,3509869a61,Компьютерная техника
fdabd3c725,direct,17167,Пылесосы,5a0d8ac946,Бытовая техника
08593bd62f,direct,16009,Велосипеды,ae99947659,Спорт и отдых
5835164e67,direct,15377,Внутренние жесткие диски,3509869a61,Компьютерная техника
5c5c31b04a,direct,15315,Материнские платы,3509869a61,Компьютерная техника
d891b3c5d5,direct,15167,Видеорегистраторы,65922fa39c,Авто
ffa1fc88a2,direct,14776,Фотоаппараты,09f279a643,Электроника
8f30c6ac97,direct,13836,Кофеварки и кофемашины,5a0d8ac946,Бытовая техника
eb317da761,direct,13778,Парфюмерия,655ccc3c49,Товары для красоты
01f8276040,direct,12509,Процессоры (CPU),3509869a61,Компьютерная техника
18436f1c4c,direct,12497,Варочные панели,5a0d8ac946,Бытовая техника
389068f27f,direct,12274,Плиты,5a0d8ac946,Бытовая техника
79164a43ea,direct,11141,Колесные диски,65922fa39c,Авто
367be1ab13,direct,10552,Портативная акустика,09f279a643,Электроника
a659a61627,direct,10517,Духовые шкафы,5a0d8ac946,Бытовая техника
6e76227536,direct,10440,Микроволновые печи,5a0d8ac946,Бытовая техника
9fcd5b4da1,direct,10338,Очистители и увлажнители воздуха,5a0d8ac946,Бытовая техника
2298383fb9,direct,10271,Конструкторы,7dbac4c1a3,Детские товары
defb7d72ad,direct,10252,Корпуса,3509869a61,Компьютерная техника
ef9147dd31,direct,10132,Электрочайники и термопоты,5a0d8ac946,Бытовая техника
fa2adaf808,direct,9902,Посудомоечные машины,5a0d8ac946,Бытовая техника
3a1c1d9d93,direct,9532,Куклы и пупсы,7dbac4c1a3,Детские товары
