user_id,Тип обращения,type_id,Время обращения
DNcd8dnS,Жалоба на товар в магазине,3,2019-03-28 13:58:24
0e9MvwGs,Мошенничество,5,2019-03-08 17:11:59
boyDUG4C,Мошенничество,5,2019-03-03 17:52:34
5jMA27s1,Жалоба на товар в магазине,3,2019-03-16 15:18:21
wvtyctOK,Накрутка отзывов,2,2019-03-13 14:43:14
zvN8W1tc,Жалоба на видеообзор,8,2019-03-29 20:32:17
bBmybSbr,Не работает сайт,1,2019-04-08 21:37:15
5JX1P5G8,Продажа запрещенных товаров,6,2019-04-06 12:15:20
pbbG3xWx,Не работает сайт,1,2019-04-09 17:30:43
vZWtTovT,Жалоба на товар в магазине,3,2019-04-16 12:26:16
Z8QkS5lh,Продажа поддельной продукции,4,2019-04-12 16:13:52
H1yviJ5h,Жалоба на видеообзор,8,2019-04-18 10:15:21
jXiVC25K,Отзыв удалён,7,2019-04-17 20:27:23
v4dOKjDS,Мошенничество,5,2019-04-24 18:44:37
Bbcv3iBm,Отзыв удалён,7,2019-03-23 18:50:55
iSDspQ8Q,Жалоба на товар в магазине,3,2019-04-16 18:21:15
QF34wVLg,Мошенничество,5,2019-03-03 17:52:52
86eCZmXh,Отзыв удалён,7,2019-04-26 19:20:27
awqAk5rl,Мошенничество,5,2019-03-10 11:27:15
KNzm1yes,Жалоба на товар в магазине,3,2019-04-25 17:53:24
Qv0NhwTA,Не работает сайт,1,2019-03-22 19:23:41
gpEdus3v,Мошенничество,5,2019-04-12 20:55:26
LJezc9fq,Жалоба на товар в магазине,3,2019-03-12 21:23:52
nnaT9guH,Продажа запрещенных товаров,6,2019-04-18 16:24:12
VwWCu1lT,Мошенничество,5,2019-03-04 15:32:25
yty9HQMF,Накрутка отзывов,2,2019-03-02 13:44:28
tf2pqX9E,Жалоба на товар в магазине,3,2019-03-18 16:14:35
bvCpkIFk,Не работает сайт,1,2019-03-17 18:28:19
yJtRbmmQ,Продажа запрещенных товаров,6,2019-04-22 16:34:34
Xk2jQKeB,Отзыв удалён,7,2019-04-14 18:46:49
0XYMMdxR,Не работает сайт,1,2019-04-02 11:40:58
i111MQt6,Жалоба на видеообзор,8,2019-03-04 16:36:21
WHzbzUpQ,Продажа запрещенных товаров,6,2019-04-07 20:25:36
J8l5161Y,Жалоба на товар в магазине,3,2019-04-03 16:37:33
gHX3VOAG,Не работает сайт,1,2019-03-20 11:35:59
ThhmtaLe,Отзыв удалён,7,2019-03-15 18:17:54
4wc8ZM9i,Мошенничество,5,2019-04-10 13:22:29
25vG2LVL,Жалоба на товар в магазине,3,2019-03-01 13:15:38
Rwdfrccg,Накрутка отзывов,2,2019-04-18 14:57:56
d79m5wcb,Не работает сайт,1,2019-03-10 11:22:58
nleVvpc5,Жалоба на видеообзор,8,2019-04-11 18:58:47
Bv6TwmnA,Продажа запрещенных товаров,6,2019-04-21 21:26:16
WTlRRkzn,Не работает сайт,1,2019-03-24 20:13:48
i68F9g8g,Продажа поддельной продукции,4,2019-04-07 10:37:12
FEsXXPnw,Продажа запрещенных товаров,6,2019-03-09 15:24:48
nYcpFMjR,Жалоба на видеообзор,8,2019-03-20 14:58:35
MsJca10P,Накрутка отзывов,2,2019-03-09 15:32:19
3oCaXYv3,Накрутка отзывов,2,2019-03-21 13:39:29
QAveTzUh,Жалоба на товар в магазине,3,2019-04-18 14:48:23
sg6NCrfv,Мошенничество,5,2019-03-03 14:35:48
